HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,1,0,0,0,1,0,0,0,0,2001-09-08 01:00:00,Chelsea,Arsenal,1,1,0.0,1.0,1.0,0.0,M. A. Riley,10.0,14.0,5.0,11.0,5.0,6.0,20.0,20.0,1.0,5.0,1.0,0.0,6.0,1,2,0.4583333333333333,0.20833333333333334,0.6666666666666666,1,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,2001-09-16 01:00:00,Tottenham,Chelsea,2,3,-1.0,0.0,1.0,-1.0,S. W. Dunn,11.0,6.0,4.0,4.0,6.0,6.0,10.0,12.0,1.0,4.0,0.0,1.0,5.0,1,5,0.23529411764705882,0.23529411764705882,0.47058823529411764,1,4,0,0,0,0
0,0,1,0,0,0,0,0,0,1,2001-09-22 01:00:00,Liverpool,Tottenham,1,0,1.0,0.0,0.0,0.0,D. J. Gallagher,14.0,11.0,6.0,5.0,2.0,5.0,12.0,9.0,0.0,1.0,0.0,0.0,1.0,0,1,0.2,0.24,0.44,1,4,3,0,0,0
0,0,0,0,1,0,0,0,1,0,2001-09-29 01:00:00,Tottenham,Man United,3,5,-1.0,3.0,0.0,1.0,J. T. Winter,7.0,18.0,3.0,9.0,4.0,7.0,16.0,10.0,3.0,3.0,0.0,0.0,6.0,1,8,0.36,0.12,0.48,1,4,3,0,3,0
0,0,1,0,0,0,0,0,1,0,2001-11-04 00:00:00,Liverpool,Man United,3,1,1.0,2.0,0.0,1.0,G. Poll,8.0,10.0,5.0,3.0,1.0,1.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0,4,0.16666666666666666,0.2777777777777778,0.4444444444444444,1,4,6,0,3,0
0,0,0,0,1,1,0,0,0,0,2001-11-17 00:00:00,Tottenham,Arsenal,1,1,0.0,0.0,0.0,0.0,J. T. Winter,9.0,5.0,4.0,5.0,9.0,6.0,18.0,16.0,2.0,1.0,0.0,0.0,3.0,0,2,0.35714285714285715,0.2857142857142857,0.6428571428571429,2,4,6,0,3,1
1,0,0,0,0,0,0,0,1,0,2001-11-25 00:00:00,Arsenal,Man United,3,1,1.0,0.0,1.0,-1.0,P. Jones,14.0,2.0,10.0,1.0,11.0,2.0,12.0,19.0,2.0,3.0,0.0,0.0,5.0,1,4,0.0625,0.625,0.6875,5,4,6,0,3,1
0,0,0,1,0,0,1,0,0,0,2001-12-01 00:00:00,Man United,Chelsea,0,3,-1.0,0.0,1.0,-1.0,A. G. Wiley,12.0,14.0,5.0,5.0,7.0,2.0,9.0,16.0,2.0,3.0,0.0,0.0,5.0,1,3,0.19230769230769232,0.19230769230769232,0.38461538461538464,5,7,6,0,3,1
0,1,0,0,0,0,0,1,0,0,2001-12-16 00:00:00,Chelsea,Liverpool,4,0,1.0,2.0,0.0,1.0,M. R. Halsey,16.0,16.0,10.0,8.0,5.0,6.0,15.0,10.0,2.0,3.0,0.0,0.0,5.0,1,4,0.25,0.3125,0.5625,5,10,6,0,3,1
0,0,1,0,0,1,0,0,0,0,2001-12-23 00:00:00,Liverpool,Arsenal,1,2,-1.0,0.0,1.0,-1.0,"Durkin, P. A.",15.0,11.0,2.0,3.0,6.0,4.0,12.0,20.0,1.0,4.0,0.0,1.0,5.0,1,3,0.11538461538461539,0.07692307692307693,0.19230769230769232,8,10,6,0,3,1
1,0,0,0,0,0,1,0,0,0,2001-12-26 00:00:00,Arsenal,Chelsea,2,1,1.0,0.0,1.0,-1.0,"Barber, G. P.",11.0,9.0,7.0,3.0,4.0,5.0,18.0,21.0,2.0,4.0,0.0,0.0,6.0,1,3,0.15,0.35,0.5,11,10,6,0,3,1
1,0,0,0,0,0,0,1,0,0,2002-01-13 00:00:00,Arsenal,Liverpool,1,1,0.0,0.0,0.0,0.0,"Dunn, S. W.",11.0,5.0,4.0,2.0,3.0,1.0,15.0,16.0,1.0,1.0,0.0,0.0,2.0,0,2,0.125,0.25,0.375,12,10,7,0,3,1
0,0,0,1,0,0,0,1,0,0,2002-01-22 00:00:00,Man United,Liverpool,0,1,-1.0,0.0,0.0,0.0,"Barber, G. P.",12.0,9.0,3.0,5.0,11.0,2.0,15.0,16.0,1.0,2.0,0.0,0.0,3.0,0,1,0.23809523809523808,0.14285714285714285,0.38095238095238093,12,10,10,0,3,1
0,0,0,1,0,0,0,0,0,1,2002-03-06 00:00:00,Man United,Tottenham,4,0,1.0,2.0,0.0,1.0,"Riley, M. A.",25.0,7.0,14.0,2.0,14.0,3.0,6.0,13.0,2.0,3.0,0.0,1.0,5.0,1,4,0.0625,0.4375,0.5,12,10,10,0,6,1
0,1,0,0,0,0,0,0,0,1,2002-03-13 00:00:00,Chelsea,Tottenham,4,0,1.0,1.0,0.0,1.0,"Wiley, A. G.",24.0,5.0,13.0,0.0,6.0,3.0,10.0,14.0,1.0,3.0,0.0,1.0,4.0,1,4,0.0,0.4482758620689655,0.4482758620689655,12,13,10,0,6,1
0,0,1,0,0,0,1,0,0,0,2002-03-24 00:00:00,Liverpool,Chelsea,1,0,1.0,0.0,0.0,0.0,"Halsey, M. R.",8.0,10.0,4.0,1.0,5.0,3.0,17.0,13.0,1.0,1.0,0.0,0.0,2.0,0,1,0.05555555555555555,0.2222222222222222,0.2777777777777778,12,13,13,0,6,1
1,0,0,0,0,0,0,0,0,1,2002-04-06 01:00:00,Arsenal,Tottenham,2,1,1.0,1.0,0.0,1.0,"Halsey, M. R.",13.0,2.0,5.0,2.0,10.0,1.0,15.0,17.0,1.0,4.0,0.0,0.0,5.0,1,3,0.13333333333333333,0.3333333333333333,0.4666666666666667,15,13,13,0,6,1
0,1,0,0,0,0,0,0,1,0,2002-04-20 01:00:00,Chelsea,Man United,0,3,-1.0,0.0,2.0,-1.0,"Barber, G. P.",7.0,6.0,2.0,5.0,12.0,5.0,9.0,6.0,4.0,1.0,0.0,0.0,5.0,1,3,0.38461538461538464,0.15384615384615385,0.5384615384615384,15,13,13,0,9,1
0,0,0,0,1,0,0,1,0,0,2002-04-27 01:00:00,Tottenham,Liverpool,1,0,1.0,1.0,0.0,1.0,"Jones, P.",11.0,11.0,5.0,7.0,3.0,8.0,9.0,11.0,1.0,1.0,0.0,0.0,2.0,0,1,0.3181818181818182,0.22727272727272727,0.5454545454545454,15,13,13,0,9,4
0,0,0,1,0,1,0,0,0,0,2002-05-08 01:00:00,Man United,Arsenal,0,1,-1.0,0.0,0.0,0.0,"Durkin, P. A.",9.0,5.0,3.0,2.0,6.0,5.0,21.0,16.0,4.0,2.0,0.0,0.0,6.0,1,1,0.14285714285714285,0.21428571428571427,0.35714285714285715,18,13,13,0,9,4
