HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0,0,1,0,0,0,1,0,0,2010-08-14 01:00:00,Tottenham,Man City,0,0,0.0,0.0,0.0,0.0,A Marriner,22.0,11.0,18.0,7.0,10.0,3.0,13.0,16.0,0.0,2.0,0.0,0.0,2.0,0,0,0.21212121212121213,0.5454545454545454,0.7575757575757576,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,2010-08-15 01:00:00,Liverpool,Arsenal,1,1,0.0,0.0,0.0,0.0,M Atkinson,7.0,14.0,4.0,7.0,9.0,11.0,13.0,15.0,1.0,3.0,1.0,1.0,4.0,1,2,0.3333333333333333,0.19047619047619047,0.5238095238095238,1,0,1,1,0,1
0,0,0,1,0,0,0,0,1,0,0,0,2010-08-23 01:00:00,Man City,Liverpool,3,0,1.0,1.0,0.0,1.0,P Dowd,8.0,13.0,3.0,7.0,5.0,4.0,13.0,12.0,1.0,1.0,0.0,0.0,2.0,0,3,0.3333333333333333,0.14285714285714285,0.47619047619047616,1,0,1,4,0,1
0,0,0,0,1,0,0,0,1,0,0,0,2010-09-19 01:00:00,Man United,Liverpool,3,2,1.0,1.0,0.0,1.0,H Webb,16.0,7.0,7.0,1.0,6.0,1.0,15.0,10.0,4.0,1.0,0.0,0.0,5.0,1,5,0.043478260869565216,0.30434782608695654,0.34782608695652173,1,0,1,4,3,1
0,0,0,1,0,0,0,1,0,0,0,0,2010-09-25 01:00:00,Man City,Chelsea,1,0,1.0,0.0,0.0,0.0,A Marriner,8.0,15.0,6.0,4.0,3.0,4.0,10.0,12.0,2.0,3.0,0.0,0.0,5.0,1,1,0.17391304347826086,0.2608695652173913,0.43478260869565216,1,0,1,7,3,1
0,1,0,0,0,0,1,0,0,0,0,0,2010-10-03 01:00:00,Chelsea,Arsenal,2,0,1.0,1.0,0.0,1.0,M Dean,11.0,13.0,6.0,5.0,10.0,10.0,7.0,12.0,1.0,1.0,0.0,0.0,2.0,0,2,0.20833333333333334,0.25,0.4583333333333333,1,3,1,7,3,1
0,0,0,1,0,0,1,0,0,0,0,0,2010-10-24 01:00:00,Man City,Arsenal,0,3,-1.0,0.0,1.0,-1.0,M Clattenburg,9.0,12.0,6.0,8.0,6.0,7.0,11.0,10.0,2.0,4.0,1.0,0.0,6.0,1,3,0.38095238095238093,0.2857142857142857,0.6666666666666666,4,3,1,7,3,1
0,0,0,0,1,0,0,0,0,0,0,1,2010-10-30 01:00:00,Man United,Tottenham,2,0,1.0,1.0,0.0,1.0,M Clattenburg,18.0,11.0,10.0,5.0,1.0,4.0,12.0,10.0,0.0,3.0,0.0,0.0,3.0,0,2,0.1724137931034483,0.3448275862068966,0.5172413793103449,4,3,1,7,6,1
0,0,1,0,0,0,0,1,0,0,0,0,2010-11-07 00:00:00,Liverpool,Chelsea,2,0,1.0,2.0,0.0,1.0,H Webb,9.0,11.0,7.0,7.0,2.0,5.0,15.0,17.0,0.0,2.0,0.0,0.0,2.0,0,2,0.35,0.35,0.7,4,3,4,7,6,1
0,0,0,1,0,0,0,0,0,0,1,0,2010-11-10 00:00:00,Man City,Man United,0,0,0.0,0.0,0.0,0.0,C Foy,6.0,7.0,4.0,4.0,8.0,5.0,10.0,12.0,0.0,2.0,0.0,0.0,2.0,0,0,0.3076923076923077,0.3076923076923077,0.6153846153846154,4,3,4,8,7,1
