HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0.0,1,0,0,1,0,0.0,0,0,2019-08-11 17:30:00,4,0,1.0,1.0,0.0,1.0,11.0,18.0,5.0,7.0,3.0,5.0,15.0,13.0,3.0,4.0,0.0,0.0,7.0,1,4,0.2413793103448276,0.1724137931034483,0.4137931034482758,0,0,0,0,3,0
0,0,0,1.0,0,0,0,0,0,0.0,0,1,2019-08-17 18:30:00,2,2,0.0,2.0,1.0,1.0,30.0,3.0,10.0,2.0,13.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,0,4,0.0606060606060606,0.303030303030303,0.3636363636363636,0,0,0,1,3,1
0,0,1,0.0,0,0,1,0,0,0.0,0,0,2019-08-24 18:30:00,3,1,1.0,1.0,0.0,1.0,25.0,9.0,5.0,3.0,6.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0,2.0,0,4,0.088235294117647,0.1470588235294117,0.2352941176470588,0,0,3,1,3,1
1,0,0,0.0,0,0,0,0,0,0.0,0,1,2019-09-01 17:30:00,2,2,0.0,1.0,2.0,-1.0,26.0,13.0,8.0,9.0,11.0,6.0,13.0,19.0,3.0,5.0,0.0,0.0,8.0,1,4,0.2307692307692307,0.2051282051282051,0.4358974358974359,1,0,3,1,3,2
0,1,0,0.0,0,0,0,0,1,0.0,0,0,2019-09-22 17:30:00,1,2,-1.0,0.0,2.0,-1.0,13.0,6.0,2.0,3.0,6.0,4.0,8.0,13.0,3.0,3.0,0.0,0.0,6.0,1,3,0.1578947368421052,0.1052631578947368,0.2631578947368421,1,0,6,1,3,2
0,0,0,0.0,1,0,1,0,0,0.0,0,0,2019-09-30 21:00:00,1,1,0.0,1.0,0.0,1.0,16.0,10.0,4.0,5.0,8.0,7.0,18.0,13.0,4.0,2.0,0.0,0.0,6.0,1,2,0.1923076923076923,0.1538461538461538,0.3461538461538461,2,0,6,1,4,2
0,0,0,0.0,1,0,0,0,1,0.0,0,0,2019-10-20 17:30:00,1,1,0.0,1.0,0.0,1.0,7.0,10.0,2.0,4.0,3.0,1.0,6.0,14.0,0.0,1.0,0.0,0.0,1.0,0,2,0.2352941176470588,0.1176470588235294,0.3529411764705882,2,0,7,1,5,2
0,0,1,0.0,0,0,0,0,0,0.0,0,1,2019-10-27 16:30:00,2,1,1.0,0.0,1.0,-1.0,21.0,11.0,13.0,4.0,8.0,3.0,9.0,11.0,3.0,3.0,0.0,0.0,6.0,1,3,0.125,0.40625,0.53125,2,0,10,1,5,2
0,0,1,0.0,0,0,0,0,0,1.0,0,0,2019-11-10 16:30:00,3,1,1.0,2.0,0.0,1.0,12.0,18.0,5.0,3.0,4.0,13.0,10.0,5.0,0.0,2.0,0.0,0.0,2.0,0,4,0.1,0.1666666666666666,0.2666666666666666,2,0,13,1,5,2
0,0,0,1.0,0,0,0,1,0,0.0,0,0,2019-11-23 17:30:00,2,1,1.0,2.0,1.0,1.0,15.0,11.0,4.0,2.0,8.0,2.0,5.0,9.0,1.0,1.0,0.0,0.0,2.0,0,3,0.0769230769230769,0.1538461538461538,0.2307692307692307,2,0,13,4,5,2
